嗚呼	ああ	Ah!;Oh!;Alas!
素材	そざい	raw materials;subject matter
阻止	そし	obstruction;check;hindrance;prevention;interdiction
組織	そしき	organization;system;construction
素質	そしつ	character;qualities;genius
然して	そして	and
訴訟	そしょう	litigation;lawsuit
祖先	そせん	ancestor
注ぐ	そそぐ	to pour (into);to irrigate;to pay;to fill;to feed (e.g. a fire)
注ぐ	そそぐ	to pour (into);to irrigate;to pay;to fill;to feed (e.g. a fire)
	そそっかしい	careless;thoughtless
育ち	そだち	breeding;growth
育つ	そだつ	to raise (child);to be brought up;to grow (up)
育てる	そだてる	to be brought up;to raise;to rear;to bring up
措置	そち	measure;step
其方	そちら	over there;the other
	そっくり	all;altogether;entirely;be just like;the splitting image of
素っ気ない	そっけない	cold;short;curt;blunt
率直	そっちょく	frankness;candour;openheartedness
	そっと	softly;secretly
外方	そっぽ	look (or turn) the other way
卒業	そつぎょう	graduation
袖	そで	sleeve
外	そと	outside
外	そと	outside
外	そと	outside
外	そと	outside
備え付ける	そなえつける	to provide;to furnish;to equip;to install
備える	そなえる	to furnish;to provide for;to equip;to install;to have ready;to prepare for;to possess;to have;to be endowed with;to be armed with
備わる	そなわる	to be furnished with;to be endowed with;to possess;to be among;to be one of;to be possessed of
園	その	garden;park;plantation
その上	そのうえ	in addition;furthermore
その内	そのうち	eventually;sooner or later;of the previously mentioned
その為	そのため	hence;for that reason
その外	そのほか	besides;in addition;the rest
其の儘	そのまま	without change;as it is (i.e. now)
蕎麦	そば	soba (buckwheat noodles)
聳える	そびえる	to rise;to tower;to soar
祖父	そふ	grandfather
祖母	そぼ	grandmother
素朴	そぼく	simplicity;artlessness;naivete
素朴	そぼく	simplicity;artlessness;naivete
粗末	そまつ	crude;rough;plain;humble
染まる	そまる	to dye
背く	そむく	to run counter to;to go against;to disobey;to infringe
染める	そめる	to dye;to colour
逸らす	そらす	to turn away;to avert
反り	そり	warp;curvature;curve;arch
其れ	それ	it;that
其れから	それから	and then;after that
各々	それぞれ	each;every;either;respectively;severally
其れで	それで	and (conj);thereupon;because of that
其れでは	それでは	in that situation;well then ...
其れでも	それでも	but (still);and yet;nevertheless;even so;notwithstanding
其れ共	それとも	or;or else
其れなら	それなら	If that's the case...;If so...;That being the case...
其れに	それに	besides;moreover
其れ程	それほど	to that degree;extent
其れ故	それゆえ	therefore;for that reason;so
逸れる	それる	to stray (turn) from subject;to get lost;to go astray
揃い	そろい	set;suit;uniform
揃う	そろう	to become complete;to be equal;to be all present;to gather
揃える	そろえる	to put things in order;to arrange;to make uniform;to get something ready
徐々	そろそろ	gradually;steadily;quietly;slowly;soon
算盤	そろばん	abacus
損害	そんがい	damage;injury;loss
尊敬	そんけい	respect;esteem;reverence;honour
存在	そんざい	existence;being
損失	そんしつ	loss
存続	そんぞく	duration;continuance
存続	そんぞく	duration;continuance
尊重	そんちょう	respect;esteem;regard
損得	そんとく	loss and gain;advantage and disadvantage
	そんな	such;like that;that sort of
沿い	ぞい	along
像	ぞう	statue;image;figure;picture;portrait
増加	ぞうか	increase;addition
増強	ぞうきょう	augment;reinforce;increase
雑巾	ぞうきん	house-cloth;dust cloth
増減	ぞうげん	increase and decrease;fluctuation
蔵相	ぞうしょう	Minister of Finance
増進	ぞうしん	promoting;increase;advance
造船	ぞうせん	shipbuilding
増大	ぞうだい	enlargement
草履	ぞうり	zoori (Japanese footwear);sandals
属する	ぞくする	to belong to;to come under;to be affiliated with;to be subject to
続々	ぞくぞく	successively;one after another
	ぞんざい	rude;careless;slovenly
存じる	ぞんじる	to know
田	た	rice field
他意	たい	ill will;malice;another intention;secret purpose;ulterior motive;fickleness;double-mindedness
対	たい	ratio;versus;against;opposition
対	たい	ratio;versus;against;opposition
体育	たいいく	physical education;gymnastics;athletics
退院	たいいん	leaving hospital
対応	たいおう	interaction;correspondence;coping with;dealing with
体温	たいおん	temperature (body)
退化	たいか	degeneration;retrogression
大会	たいかい	convention;tournament;mass meeting;rally
体格	たいかく	physique;constitution
大概	たいがい	in general;mainly
退学	たいがく	dropping out of school
大気	たいき	atmosphere
大金	たいきん	great cost
退屈	たいくつ	tedium;boredom
待遇	たいぐう	treatment;reception
体系	たいけい	system;organization
対決	たいけつ	confrontation;showdown
体験	たいけん	personal experience
太鼓	たいこ	drum;tambourine
対抗	たいこう	opposition;antagonism
対策	たいさく	counter-plan;counter-measure
滞在	たいざい	stay;sojourn
大使	たいし	ambassador
大した	たいした	considerable;great;important;significant;a big deal
対して	たいして	for;in regard to;per
大衆	たいしゅう	general public
対処	たいしょ	deal with;cope
対象	たいしょう	target;object (of worship  study  etc);subject (of taxation  etc)
対照	たいしょう	contrast;antithesis;comparison
退職	たいしょく	retirement (from office)
退治	たいじ	extermination
体重	たいじゅう	one's body weight
対する	たいする	to face;to confront;to oppose
態勢	たいせい	attitude;conditions;preparations
体制	たいせい	order;system;structure;set-up;organization
体積	たいせき	capacity;volume
大切	たいせつ	important
大戦	たいせん	great war;great battle
体操	たいそう	gymnastics;physical exercises;calisthenics
体操	たいそう	gymnastics;physical exercises;calisthenics
対談	たいだん	talk;dialogue;conversation
大抵	たいてい	usually;generally
対等	たいとう	equivalent
態度	たいど	attitude;manner
滞納	たいのう	non-payment;default
大半	たいはん	majority;mostly;generally
対比	たいひ	contrast;comparison
台風	たいふう	typhoon
大部	たいぶ	most (e.g. most part);greater;fairly;a good deal;much
対辺	たいへん	(geometrical) opposite side
逮捕	たいほ	arrest;apprehension;capture
待望	たいぼう	expectant waiting
大木	たいぼく	large tree
怠慢	たいまん	negligence;procrastination;carelessness
対面	たいめん	interview;meeting
太陽	たいよう	sun;solar
平ら	たいら	flatness;level;smooth;calm;plain;sitting tailor fashion
大陸	たいりく	continent
対立	たいりつ	confrontation;opposition;antagonism
体力	たいりょく	physical strength
対話	たいわ	interactive;interaction;conversation;dialogue
田植え	たうえ	rice planting
絶えず	たえず	constantly
耐える	たえる	to bear;to endure
絶える	たえる	to die out;to peter out;to become extinct
堪える	たえる	to bear;to stand;to endure;to put up with;to support;to withstand;to resist;to brave;to be fit for;to be equal to
倒す	たおす	to throw down;to beat;to bring down;to blow down;to fell;to knock down;to trip up;to defeat;to ruin;to overthrow;to kill;to leave unpaid;to cheat
倒れる	たおれる	to collapse;to break down;to go bankrupt;to fall;to drop;to die;to succumb to;to fall senseless;to be ruined;to have a bad debt
高	たか	quantity;amount;volume;number;amount of money
高い	たかい	tall;high;expensive
高まる	たかまる	to rise;to swell;to be promoted
高める	たかめる	to raise;to lift;to boost
宝	たから	treasure
互い	たがい	mutual;reciprocal
耕す	たがやす	to till;to plow;to cultivate
滝	たき	waterfall
焚火	たきび	(open) fire
宅	たく	house;home;husband
炊く	たく	to boil;to cook
沢山	たくさん	many;a lot;much
逞しい	たくましい	burly;strong;sturdy
巧み	たくみ	skill;cleverness
蓄える	たくわえる	to store;to lay in stock
類	たぐい	a kind
丈	たけ	height;stature;length;measure;all (one has)
竹	たけ	bamboo;middle (of a three-tier ranking system)
確	たしか	certain;sure;definite;if I'm not mistaken;if I remember correctly
確か	たしか	certain;sure;definite;if I'm not mistaken;if I remember correctly
確かめる	たしかめる	to ascertain
足し算	たしざん	addition
多少	たしょう	more or less;somewhat;a little;some
足す	たす	to add (numbers);to do (e.g. one's business)
多数決	たすうけつ	majority rule
助かる	たすかる	to be saved;to be rescued;to survive;to be helpful
助け	たすけ	assistance
助ける	たすける	to help;to save;to rescue;to give relief to;to spare (life);to reinforce;to promote;to abet
携わる	たずさわる	to participate;to take part
訪ねる	たずねる	to visit
尋ねる	たずねる	to ask;to enquire
戦い	たたかい	battle;fight;struggle;conflict
戦う	たたかう	to fight;to battle;to combat;to struggle against;to wage war;to engage in contest
叩く	たたく	to strike;to clap;to dust;to beat
叩く	たたく	to strike;to clap;to dust;to beat
畳む	たたむ	to fold (clothes)
只	ただ	free;only
只	ただ	free;only
唯	ただ	free of charge;mere;sole;usual;common
ただ今	ただいま	Here I am;I'm home!;presently;right away;right now;just now
但し	ただし	but;however;provided that
正しい	ただしい	right;just;correct;righteous;honest;truthful;proper;straightforward;perfect
直ちに	ただちに	at once;immediately;directly;in person
漂う	ただよう	to drift about;to float;to hang in air
館	たち	1.  mansion;small castle
立ち上がる	たちあがる	to stand up
立方	たちかた	dancing (geisha)
立ち去る	たちさる	to leave;to depart;to take one's leave
立ち止まる	たちどまる	to stop;to halt;to stand still
立場	たちば	standpoint;position;situation
忽ち	たちまち	at once;in a moment;suddenly;all at once
立ち寄る	たちよる	to stop by;to drop in for a short visit
達者	たっしゃ	skillful;in good health
達する	たっする	to reach;to get to
達成	たっせい	achievement
	たった	only;merely;but;no more than
尊い	たっとい	precious;valuable;priceless;noble;exalted;sacred
貴い	たっとい	precious;valuable;priceless;noble;exalted;sacred
尊ぶ	たっとぶ	to value;to prize;to esteem
	たっぷり	full;in plenty;ample
絶つ	たつ	to sever;to cut off;to suppress;to abstain (from)
立つ	たつ	to stand;to erect;to be erected;to rise;to be built
建つ	たつ	to stand;to erect;to be erected;to rise;to be built
発つ	たつ	to depart (on a plane  train  etc.)
経つ	たつ	to pass;to lapse
盾	たて	shield;buckler;escutcheon;pretext
縦	たて	length;height
立て替える	たてかえる	to pay in advance;to pay for another;to pay someone else's debt as a loan to him
建前	たてまえ	face;official stance;public position or attitude (as opposed to private thoughts)
奉る	たてまつる	to offer;to present;to revere;to do respectfully
建物	たてもの	building
立てる	たてる	to stand (something) up;to erect (something)
建てる	たてる	to build;to construct
例え	たとえ	example;even if;if;though;although
仮令	たとえ	example;even if;if;though;although
例えば	たとえば	for example;e.g.
例える	たとえる	to compare;to liken;to speak figuratively;to illustrate;to use a simile
他動詞	たどうし	transitive verb (direct obj)
辿り着く	たどりつく	to grope along to;to struggle on to;to arrive somewhere after a struggle
辿る	たどる	to follow (road);to pursue (course);to follow up
棚	たな	shelves;rack
掌	たなごころ	the palm
谷	たに	valley
楽しい	たのしい	enjoyable;fun
楽しみ	たのしみ	enjoyment;pleasure
楽しむ	たのしむ	to enjoy oneself
頼み	たのみ	request;favor;reliance;dependence
頼む	たのむ	to request;to beg;to ask
頼もしい	たのもしい	reliable;trustworthy;hopeful;promising
束	たば	bundle;bunch;sheaf;coil
煙草	たばこ	(pt:) (n) (uk) tobacco (pt: tabaco);cigarettes
束ねる	たばねる	to tie up in a bundle;to govern;to manage;to control;to fold (one's arms);to administer
足袋	たび	tabi;Japanese socks (with split toe)
度	たび	times (three times  etc.);degree
旅	たび	travel;trip;journey
度	たび	times (three times  etc.);degree
度々	たびたび	often;repeatedly;frequently
多分	たぶん	perhaps;probably
食べる	たべる	to eat
他方	たほう	another side;different direction;(on) the other hand
多忙	たぼう	busy;pressure of work
弾	たま	bullet;shot;shell
球	たま	globe;sphere;ball
給う	たまう	to receive;to grant
卵	たまご	1.  egg(s);spawn;roe; 2.  (an expert) in the making
偶々	たまたま	casually;unexpectedly;accidentally;by chance
偶に	たまに	occasionally;once in a while
堪らない	たまらない	intolerable;unbearable;unendurable
溜まり	たまり	collected things;gathering place;arrears
溜まる	たまる	to collect;to gather;to save
溜まる	たまる	to collect;to gather;to save
賜る	たまわる	to grant;to bestow
為	ため	good;advantage;benefit;welfare;sake;to;in order to;because of;as a result of
溜息	ためいき	a sigh
試し	ためし	trial;test
例	ためし	instance;example;case;precedent;experience;custom;usage;parallel;illustration
試す	ためす	to attempt;to test
躊躇う	ためらう	to hesitate
保つ	たもつ	to keep;to preserve;to hold;to retain;to maintain;to support;to sustain;to last;to endure;to keep well (food);to wear well;to be durable
容易い	たやすい	easy;simple;light
多様	たよう	diversity;variety
便り	たより	news;tidings;information;correspondence;letter
頼る	たよる	to rely on;to have recourse to;to depend on
足りる	たりる	to be sufficient;to be enough
足る	たる	to be sufficient;to be enough
弛み	たるみ	slack;slackening;dullness;letdown
弛む	たるむ	to slacken;to loosen;to relax
誰	たれ	adjectival suffix for a person
垂れる	たれる	to hang;to droop;to drop;to lower;to pull down;to dangle;to sag;to drip;to ooze;to trickle;to leave behind (at death);to give;to confer
歎	たん	grief;sigh;lamentation
反	たん	roll of cloth (c. 10 yds.);.245 acres;300 tsubo
単位	たんい	unit;denomination;credit (in school)
単一	たんいつ	single;simple;sole;individual;unitory
短歌	たんか	tanka;31-syllable Japanese poem
担架	たんか	stretcher;litter
短気	たんき	quick temper
短期	たんき	short term
探検	たんけん	exploration;expedition
炭鉱	たんこう	coal mine;coal pit
単語	たんご	word;vocabulary;single-character word
短縮	たんしゅく	shortening;abbreviation;reduction
短所	たんしょ	defect;demerit;weak point
単純	たんじゅん	simplicity
誕生	たんじょう	birth
箪笥	たんす	chest of drawers
淡水	たんすい	fresh water
単数	たんすう	singular (number)
炭素	たんそ	carbon (C)
短大	たんだい	junior college
単調	たんちょう	monotony;monotone;dullness
担当	たんとう	(in) charge
単独	たんどく	sole;independence;single;solo (flight)
単なる	たんなる	mere;simple;sheer
単に	たんに	simply;merely;only;solely
短波	たんぱ	short wave
蛋白質	たんぱくしつ	protein
短編	たんぺん	short (e.g. story  film)
台	だい	stand;rack;table;support
台	だい	stand;rack;table;support
題	だい	title;subject;theme;topic
第	だい	ordinal
第一	だいいち	first;foremost;# 1
大学	だいがく	university
大学院	だいがくいん	graduate school
代金	だいきん	price;payment;cost;charge;the money;the bill
大工	だいく	carpenter
大小	だいしょう	size
大丈夫	だいじょうぶ	safe;all right;O.K.
大臣	だいじん	cabinet minister
大体	だいたい	general;substantially;outline;main point
大胆	だいたん	bold;daring;audacious
大統領	だいとうりょう	president;chief executive
台所	だいどころ	kitchen
台無し	だいなし	mess;spoiled;(come to) nothing
代表	だいひょう	representative;representation;delegation;type;example;model
大分	だいぶ	considerably;greatly;a lot
大部分	だいぶぶん	most part;greater part;majority
大便	だいべん	feces;excrement;shit
代弁	だいべん	pay by proxy;act for another;speak for another
台本	だいほん	libretto;scenario
題名	だいめい	title
代名詞	だいめいし	pronoun
代用	だいよう	substitution
代理	だいり	representation;agency;proxy;deputy;agent;attorney;substitute;alternate;acting (principal  etc.)
楕円	だえん	ellipse
打開	だかい	break in the deadlock
	だから	so;therefore
妥協	だきょう	compromise;giving in
丈	だけ	only;just;as
妥結	だけつ	agreement
	だけど	however
打撃	だげき	1.  blow;shock;strike;damage; 2.  batting (baseball)
駄作	ださく	poor work;rubbish
出す	だす	to put out;to send
出す	だす	to put out;to send
抱っこ	だっこ	(child's) hug
脱出	だっしゅつ	escape
脱する	だっする	to escape from;to get out
脱線	だっせん	derailment;digression
脱退	だったい	secession
	だったら	if it's the case
	だって	but;because;even;also;too
妥当	だとう	valid;proper;right;appropriate
	だぶだぶ	loose;baggy
騙す	だます	to trick;to cheat;to deceive
黙る	だまる	to be silent
駄目	だめ	useless;no good;hopeless
	だらけ	implying (negatively) that something is full of  e.g. mistakes
	だらしない	slovenly;loose;a slut
怠い	だるい	sluggish;feel heavy;languid;dull
誰か	だれか	someone;somebody
段	だん	step;stair;flight of steps;grade;rank;level
壇	だん	1.  platform;podium;rostrum; 2.  (arch) mandala
段階	だんかい	gradation;grad;stage
団結	だんけつ	unity;union;combination
断言	だんげん	declaration;affirmation
男子	だんし	youth;young man
断水	だんすい	water outage
男性	だんせい	male;man
断然	だんぜん	firmly;absolutely;definitely
団体	だんたい	organization;association
段々	だんだん	gradually;by degrees
団地	だんち	multi-unit apartments
断定	だんてい	conclusion;decision
旦那	だんな	master (of house);husband (informal)
暖房	だんぼう	heating
断面	だんめん	cross section
弾力	だんりょく	elasticity;flexibility
血	ち	blood;consanguinity
地	ち	earth
治安	ちあん	public order
地位	ちい	(social) position;status
地域	ちいき	area;region
小さい	ちいさい	small;little;tiny
知恵	ちえ	wisdom;wit;sagacity;sense;intelligence;advice
地下	ちか	basement;underground
近い	ちかい	near;close by;short
誓う	ちかう	to swear;to vow;to take an oath;to pledge
近く	ちかく	near;neighbourhood;vicinity
近頃	ちかごろ	lately;recently;nowadays
地下水	ちかすい	underground water
近付く	ちかづく	to approach;to get near;to get acquainted with;to get closer
近付ける	ちかづける	to bring near;to put close;to let come near;to associate with
地下鉄	ちかてつ	underground train;subway
近寄る	ちかよる	to approach;to draw near
力	ちから	force;strength;energy;might;power;agency;authority;influence;vigor;stress;emphasis;exertions;endeavors;efficacy;help;support;good offices;ability;faculty;capability;attainment;means;resources
力	ちから	force;strength;energy;might;power;agency;authority;influence;vigor;stress;emphasis;exertions;endeavors;efficacy;help;support;good offices;ability;faculty;capability;attainment;means;resources
力強い	ちからづよい	reassuring;emboldened
違い	ちがい	difference;discrepancy
違いない	ちがいない	(phrase) sure;no mistaking it;for certain
違う	ちがう	to differ (from)
違える	ちがえる	to change
地球	ちきゅう	the earth
契る	ちぎる	to pledge;to promise;to swear
地区	ちく	district;section;sector
畜産	ちくさん	animal husbandry
畜生	ちくしょう	beast;brute;damn
蓄積	ちくせき	accumulation;accumulate;store
遅刻	ちこく	lateness;late coming
知識	ちしき	knowledge;information
地質	ちしつ	geological features
知事	ちじ	prefectural governor
知人	ちじん	friend;acquaintance
地図	ちず	map
知性	ちせい	intelligence
地帯	ちたい	area;zone
乳	ちち	milk;breast;loop
父	ちち	father
父親	ちちおや	father
父母	ちちはは	father and mother;parents
縮まる	ちぢまる	to be shortened;to be contracted;to shrink
縮む	ちぢむ	to shrink;to be contracted
縮める	ちぢめる	to shorten;to reduce;to boil down;to shrink
縮れる	ちぢれる	to be wavy;to be curled
窒息	ちっそく	suffocation
些とも	ちっとも	not at all (neg. verb)
秩序	ちつじょ	order;regularity;system;method
知的	ちてき	intellectual
地点	ちてん	site;point on a map
知能	ちのう	brain
地平線	ちへいせん	horizon
地名	ちめい	place name
茶	ちゃ	tea
茶色	ちゃいろ	light brown;tawny
著	ちゃく	counter for suits of clothing;arriving at ..
着	ちゃく	counter for suits of clothing;arriving at ..
着	ちゃく	counter for suits of clothing;arriving at ..
着手	ちゃくしゅ	embarkation;launch
着色	ちゃくしょく	colouring;coloring
着席	ちゃくせき	sit down;seat
着々	ちゃくちゃく	steadily
着目	ちゃくもく	attention
着陸	ちゃくりく	landing;alighting;touch down
着工	ちゃっこう	start of (construction) work
茶の間	ちゃのま	living room (Japanese style)
茶の湯	ちゃのゆ	tea ceremony
茶碗	ちゃわん	rice bowl;tea cup;teacup
	ちゃん	suffix for familiar (female) person
	ちゃんと	perfectly;properly;exactly
	ちやほや	pamper;make a fuss of;spoil
中	ちゅう	medium;mediocre
注	ちゅう	annotation;explanatory note
中	ちゅう	medium;mediocre
中	ちゅう	medium;mediocre
中	ちゅう	medium;mediocre
注意	ちゅうい	caution;being careful;attention (heed);warning;advice
中央	ちゅうおう	centre;central;center;middle
中間	ちゅうかん	middle;midway;interim
昼間	ちゅうかん	daytime;during the day
宙返り	ちゅうがえり	somersault;looping-the-loop
中学	ちゅうがく	middle school;junior high school
中継	ちゅうけい	relay;hook-up
仲間	ちゅうげん	samurai's attendant;footman
中古	ちゅうこ	1.  used;second-hand;old; 2.  Middle Ages
忠告	ちゅうこく	advice;warning
中止	ちゅうし	suspension;stoppage;discontinuance;interruption
中指	ちゅうし	middle finger
注射	ちゅうしゃ	injection
駐車	ちゅうしゃ	parking (e.g. car)
中傷	ちゅうしょう	slander;libel;defamation
抽象	ちゅうしょう	abstract
昼食	ちゅうしょく	lunch;midday meal
中心	ちゅうしん	center;core;heart;pivot;emphasis;balance
忠実	ちゅうじつ	fidelity;faithfulness
中旬	ちゅうじゅん	second third of a month
中枢	ちゅうすう	centre;pivot;mainstay;nucleus;backbone;central figure;pillar;key man
中世	ちゅうせい	Middle Ages;mediaeval times
中性	ちゅうせい	neuter gender;neutral (chem.);indifference;sterility
抽選	ちゅうせん	lottery;raffle;drawing (of lots)
中断	ちゅうだん	interruption;suspension;break
中腹	ちゅうっぱら	irritated;offended
中途	ちゅうと	in the middle;half-way
中毒	ちゅうどく	poisoning
仲人	ちゅうにん	go-between;matchmaker
中年	ちゅうねん	middle-aged
昼飯	ちゅうはん	lunch;midday meal
注目	ちゅうもく	notice;attention;observation
注文	ちゅうもん	order;request
中立	ちゅうりつ	neutrality
中和	ちゅうわ	neutralize;counteract
腸	ちょう	guts;bowels;intestines
蝶	ちょう	butterfly
超	ちょう	super-;ultra-;hyper-
庁	ちょう	government office
調印	ちょういん	signature;sign;sealing
超過	ちょうか	excess;being more than
聴覚	ちょうかく	the sense of hearing
長官	ちょうかん	chief;(government) secretary
長期	ちょうき	long time period
聴講	ちょうこう	lecture attendance;auditing
彫刻	ちょうこく	carving;engraving;sculpture
調査	ちょうさ	investigation;examination;inquiry;survey
調子	ちょうし	tune;tone;key;pitch;time;rhythm;vein;mood;way;manner;style;knack;condition;state of health;strain;impetus;spur of the moment;trend
徴収	ちょうしゅう	collection;levy
長所	ちょうしょ	strong point
聴診器	ちょうしんき	stethoscope
長女	ちょうじょ	eldest daughter
頂上	ちょうじょう	top;summit;peak
調整	ちょうせい	regulation;adjustment;tuning
調節	ちょうせつ	regulation;adjustment;control
挑戦	ちょうせん	challenge;defiance
長短	ちょうたん	length;long and short;+-
長大	ちょうだい	very long;great length
調停	ちょうてい	arbitration;conciliation;mediation
頂点	ちょうてん	top;summit
恰度	ちょうど	just;right;exactly
長男	ちょうなん	eldest son
長編	ちょうへん	long (e.g. novel  film)
長方形	ちょうほうけい	rectangle;oblong
調味料	ちょうみりょう	condiment;seasoning
丁目	ちょうめ	district of a town;city block (of irregular size)
調理	ちょうり	cooking
調和	ちょうわ	harmony
貯金	ちょきん	(bank) savings
直後	ちょくご	immediately following
直接	ちょくせつ	direct;immediate;personal;firsthand
直線	ちょくせん	straight line
直前	ちょくぜん	just before
	ちょくちょく	often;frequently;now and then;occasionally
直通	ちょくつう	direct communication
直面	ちょくめん	confrontation
直流	ちょくりゅう	direct current
著者	ちょしゃ	author;writer
著書	ちょしょ	literary work;book
貯蔵	ちょぞう	storage;preservation
貯蓄	ちょちく	savings
直角	ちょっかく	right angle
直感	ちょっかん	intuition
直径	ちょっけい	diameter
一寸	ちょっと	(ateji) (adv int) (uk) just a minute;a short time;a while;just a little;somewhat;easily;readily;rather
著名	ちょめい	well-known;noted;celebrated
散らかす	ちらかす	to scatter around;to leave untidy
散らかる	ちらかる	to be in disorder;to lie scattered around
散らす	ちらす	to scatter;to disperse;to distribute
	ちらっと	at a glance;by accident
地理	ちり	geography
塵紙	ちりがみ	tissue paper
塵取り	ちりとり	dustpan
治療	ちりょう	medical treatment
散る	ちる	to fall;to scatter (e.g. blossoms)
賃金	ちんぎん	wages
沈殿	ちんでん	precipitation;settlement
沈没	ちんぼつ	sinking;foundering
沈黙	ちんもく	silence;reticence
陳列	ちんれつ	exhibition;display;show
	つい	just (now);quite (near);unintentionally;unconsciously;by mistake;against one's better judgement
追加	ついか	addition;supplement;appendix
追及	ついきゅう	gaining on;carrying out;solving (crime)
追跡	ついせき	pursuit
次いで	ついで	next;secondly;subsequently
遂に	ついに	finally;at last
追放	ついほう	exile;banishment
費やす	ついやす	to spend;to devote;to waste
墜落	ついらく	falling;crashing
通	つう	connoisseur;counter for letters
通過	つうか	passage through;passing
通貨	つうか	currency
痛感	つうかん	feeling keenly;fully realizing
通学	つうがく	commuting to school
通勤	つうきん	commuting to work
通行	つうこう	passage;passing
通信	つうしん	correspondence;communication;news;signal
通常	つうじょう	common;general;usually
通じる	つうじる	to run to;to lead to;to communicate;to understand;to be well informed
痛切	つうせつ	keen;acute
通知	つうち	notice;notification
通帳	つうちょう	passbook
通訳	つうやく	interpretation
通用	つうよう	popular use;circulation
通路	つうろ	passage;pathway
杖	つえ	cane
遣い	つかい	mission;simple task;doing
使い道	つかいみち	use
使う	つかう	to use;to handle;to manipulate;to employ;to need;to want;to spend;to consume;to speak (English);to practise (fencing);to take (one's lunch);to circulate (bad money)
仕える	つかえる	to serve;to work for
司る	つかさどる	to rule;to govern;to administer
束の間	つかのま	moment;brief time;brief;transient
捕まえる	つかまえる	to catch;to arrest;to seize
捕まる	つかまる	to be caught;to be arrested
掴む	つかむ	to seize;to catch;to grasp;to grip;to grab;to hold;to catch hold of;to lay one's hands on
疲れ	つかれ	tiredness;fatigue
疲れる	つかれる	to get tired;to tire
月	つき	moon;month
月	つき	moon;month
月	つき	moon;month
付き	つき	attached to;impression;sociality;appearance;furnished with;under;to
付き合い	つきあい	association;socializing;fellowship
付き合う	つきあう	to associate with;to keep company with;to get on with
突き当たり	つきあたり	end (e.g. of street)
突き当たる	つきあたる	to run into;to collide with
月並み	つきなみ	every month;common
尽きる	つきる	to be used up;to be run out;to be exhausted;to be consumed;to come to an end
次々	つぎつぎ	in succession;one by one
継ぎ目	つぎめ	a joint;joining point
付く	つく	to adjoin;to be attached;to adhere;to be connected with;to be dyed;to be stained;to be scarred;to be recorded;to start (fires);to follow;to become allied to;to accompany;to study with;to increase;to be added to
着く	つく	to arrive at;to reach
就く	つく	to settle in (place);to take (seat  position);to study (under teacher)
点く	つく	to catch fire;(electricity) comes on
突く	つく	1.  to thrust;to strike;to attack; 2.  to poke;to nudge;to pick at
吐く	つく	1.  to breathe; 2.  to tell (lies); 3.  to vomit;to disgorge
机	つくえ	desk
尽くす	つくす	to exhaust;to run out;to serve (a person);to befriend
作り	つくり	make-up;sliced raw fish
造り	つくり	make up;structure;physique
作る	つくる	to make;to create;to manufacture;to draw up;to write;to compose;to build;to coin;to cultivate;to organize;to establish;to make up (a face);to trim (a tree);to fabricate;to prepare (food);to commit (sin);to construct
造る	つくる	to make;to create;to manufacture;to draw up;to write;to compose;to build;to coin;to cultivate;to organize;to establish;to make up (a face);to trim (a tree);to fabricate;to prepare (food);to commit (sin);to construct
繕う	つくろう	to mend;to repair;to fix;to patch up;to darn;to tidy up;to adjust;to trim
接ぐ	つぐ	to join;to piece together;to set (bones);to graft (trees)
継ぐ	つぐ	to succeed
次ぐ	つぐ	to rank next to;to come after
付け加える	つけくわえる	to add one thing to another
付ける	つける	to attach;to join;to stick;to glue;to fasten;to sew on;to furnish (a house with);to wear;to put on;to make an entry;to appraise;to set (a price);to apply (ointment);to bring alongside;to place (under guard or doctor);to follow;to shadow;to add;to append;t
着ける	つける	to arrive;to wear;to put on
点ける	つける	to turn on;to switch on;to light up
浸ける	つける	to dip in;to soak
漬ける	つける	to soak;to moisten;to pickle
告げる	つげる	to inform
都合	つごう	circumstances;condition;convenience
辻褄	つじつま	coherence;consistency
伝える	つたえる	to convey;to report;to transmit;to communicate;to tell;to impart;to propagate;to teach;to bequeath
伝わる	つたわる	to be handed down;to be introduced;to be transmitted;to be circulated;to go along;to walk along
土	つち	earth;soil
土	つち	earth;soil
途中	つちゅう	on the way;en route
突っ込む	つっこむ	to plunge into;to go into deeply
突っ張る	つっぱる	to support;to become stiff;to become taut;to thrust (ones opponent);to stick to (ones opinion);to insist on
筒	つつ	pipe;tube
銃	つつ	gun
突く	つつく	1.  to thrust;to strike;to attack; 2.  to poke;to nudge;to pick at
慎む	つつしむ	to be careful;to be chaste or discreet;to abstain or refrain
包み	つつみ	bundle;package;parcel;bale
続き	つづき	sequel;continuation;(also suffix) continuation (in time and space);second series;succession;spell
続く	つづく	to be continued
続く	つづく	to be continued
続ける	つづける	to continue;to keep up;to keep on
続ける	つづける	to continue;to keep up;to keep on
伝言	つてごと	verbal message;rumor;word
勤まる	つとまる	to be fit for;to be equal to;to function properly
勤め	つとめ	service;duty;business;Buddhist religious services
勤め先	つとめさき	place of work
努めて	つとめて	make an effort!;work hard!
勤める	つとめる	to serve;to fill a post;to serve under;to exert oneself;to endeavor;to be diligent;to play (the part of);to work (for)
務める	つとめる	to serve;to fill a post;to serve under;to exert oneself;to endeavor;to be diligent;to play (the part of);to work (for)
努める	つとめる	to exert oneself;to make great effort;to try hard
綱	つな	rope
繋がり	つながり	connection;link;relationship
